Entry	Entry Name	Gene Names	Organism
P27814	KLRBC_MOUSE	Klrb1c Ly55c Nkrp1c	Mus musculus (Mouse)
P28843	DPP4_MOUSE	Dpp4 Cd26	Mus musculus (Mouse)
P30204	MSRE_MOUSE	Msr1 Scvr	Mus musculus (Mouse)
P32972	TNFL8_MOUSE	Tnfsf8 Cd30l Cd30lg	Mus musculus (Mouse)
P34927	ASGR1_MOUSE	Asgr1 Asgr-1	Mus musculus (Mouse)
P37217	CD69_MOUSE	Cd69	Mus musculus (Mouse)
P38649	BGAT_MOUSE	Abo	Mus musculus (Mouse)
P39098	MA1A2_MOUSE	Man1a2 Man1b	Mus musculus (Mouse)
P41047	TNFL6_MOUSE	Faslg Apt1lg1 Cd95l Fasl gld Tnfsf6	Mus musculus (Mouse)
P41155	TNFC_MOUSE	Ltb Tnfc Tnfsf3	Mus musculus (Mouse)
P41274	TNFL9_MOUSE	Tnfsf9 Cd137l Cd157l Ly63l	Mus musculus (Mouse)
P43488	TNFL4_MOUSE	Tnfsf4 Ox40l Txgp1l	Mus musculus (Mouse)
P45700	MA1A1_MOUSE	Man1a1 Man1a	Mus musculus (Mouse)
P46694	IEX1_MOUSE	Ier3 Gly96 Iex1	Mus musculus (Mouse)
P47759	NSG2_MOUSE	Nsg2	Mus musculus (Mouse)
P50172	DHI1_MOUSE	Hsd11b1 Hsd11	Mus musculus (Mouse)
P50592	TNF10_MOUSE	Tnfsf10 Trail	Mus musculus (Mouse)
P52850	NDST2_MOUSE	Ndst2 Hsst2	Mus musculus (Mouse)
P54751	SIA4A_MOUSE	St3gal1 Siat4 Siat4a	Mus musculus (Mouse)
P56528	CD38_MOUSE	Cd38	Mus musculus (Mouse)
P56677	ST14_MOUSE	St14 Prss14	Mus musculus (Mouse)
P58158	B3GA3_MOUSE	B3gat3	Mus musculus (Mouse)
P59270	B3GA2_MOUSE	B3gat2 Glcats	Mus musculus (Mouse)
P70126	SIA8E_MOUSE	St8sia5 Siat8e St8siav	Mus musculus (Mouse)
P70419	GALT3_MOUSE	Galnt3	Mus musculus (Mouse)
P70428	EXT2_MOUSE	Ext2	Mus musculus (Mouse)
P70669	PHEX_MOUSE	Phex Hyp Pex	Mus musculus (Mouse)
P82347	SGCD_MOUSE	Sgcd	Mus musculus (Mouse)
P82348	SGCG_MOUSE	Sgcg	Mus musculus (Mouse)
P82349	SGCB_MOUSE	Sgcb	Mus musculus (Mouse)
P97321	SEPR_MOUSE	Fap	Mus musculus (Mouse)
P97325	SIAT6_MOUSE	St3gal3 Siat3 Siat6	Mus musculus (Mouse)
P97353	SEC1_MOUSE	Sec1 Fut3	Mus musculus (Mouse)
P97370	AT1B3_MOUSE	Atp1b3	Mus musculus (Mouse)
P97402	GCNT2_MOUSE	Gcnt2	Mus musculus (Mouse)
P97449	AMPN_MOUSE	Anpep Lap-1 Lap1	Mus musculus (Mouse)
P97464	EXT1_MOUSE	Ext1	Mus musculus (Mouse)
Q07563	COHA1_MOUSE	Col17a1 Bp180 Bpag2	Mus musculus (Mouse)
Q09199	B4GN2_MOUSE	B4galnt2 Galgt2 Ggm3	Mus musculus (Mouse)
Q09200	B4GN1_MOUSE	B4galnt1 Galgt Galgt1 Ggm2	Mus musculus (Mouse)
Q09324	GCNT1_MOUSE	Gcnt1	Mus musculus (Mouse)
Q10470	MGAT3_MOUSE	Mgat3	Mus musculus (Mouse)
Q11127	FUT4_MOUSE	Fut4 Elft	Mus musculus (Mouse)
Q11131	FUT7_MOUSE	Fut7	Mus musculus (Mouse)
Q11204	SIA4B_MOUSE	St3gal2 Siat4b Siat5	Mus musculus (Mouse)
Q1JRP2	TM11C_MOUSE	Tmprss11c	Mus musculus (Mouse)
Q3TFD2	PCAT1_MOUSE	Lpcat1 Aytl2	Mus musculus (Mouse)
Q3TUA9	SG196_MOUSE	Pomk Sgk196	Mus musculus (Mouse)
Q3U0P5	ENTP6_MOUSE	Entpd6 Cd39l2	Mus musculus (Mouse)
Q3U4G3	XXLT1_MOUSE	Xxylt1	Mus musculus (Mouse)
Q3UHN9	NDST1_MOUSE	Ndst1	Mus musculus (Mouse)
Q3UMW8	CLN5_MOUSE	Cln5 Bmps	Mus musculus (Mouse)
Q3V1N9	A3LT2_MOUSE	A3galt2 Igb3s	Mus musculus (Mouse)
Q4PZA2	ECE1_MOUSE	Ece1	Mus musculus (Mouse)
Q504P2	CL12A_MOUSE	Clec12a klrl1 Micl	Mus musculus (Mouse)
Q5DTK1	CHSS3_MOUSE	Chsy3 Chsy2 Css3 Kiaa4168	Mus musculus (Mouse)
Q5F2L2	FUT10_MOUSE	Fut10	Mus musculus (Mouse)
Q5FWI3	CEIP2_MOUSE	Cemip2 Kiaa1412 Tmem2	Mus musculus (Mouse)
Q5JCT0	GCNT3_MOUSE	Gcnt3	Mus musculus (Mouse)
Q5MJS3	FA20C_MOUSE	Fam20c Dmp4 Kiaa4081	Mus musculus (Mouse)
Q5S248	TM11E_MOUSE	Tmprss11e Desc1	Mus musculus (Mouse)
Q5U405	TMPSD_MOUSE	Tmprss13 Msp	Mus musculus (Mouse)
Q5XPT3	LARG2_MOUSE	Large2 Gyltl1b	Mus musculus (Mouse)
Q60651	KLRA4_MOUSE	Klra4 Ly-49d Ly49-d Ly49d	Mus musculus (Mouse)
Q60654	KLRA7_MOUSE	Klra7 Ly-49g Ly49-g Ly49g Ly49g4	Mus musculus (Mouse)
Q60682	KLRA8_MOUSE	Klra8 Ly-49h Ly49-h Ly49H	Mus musculus (Mouse)
Q60754	MARCO_MOUSE	Marco	Mus musculus (Mouse)
Q60928	GGT1_MOUSE	Ggt1 Ggt Ggtp	Mus musculus (Mouse)
Q61029	LAP2B_MOUSE	Tmpo Lap2	Mus musculus (Mouse)
Q61391	NEP_MOUSE	Mme	Mus musculus (Mouse)
Q61595	KTN1_MOUSE	Ktn1	Mus musculus (Mouse)
Q61817	CREB3_MOUSE	Creb3 Lzip	Mus musculus (Mouse)
Q61985	NF2L1_MOUSE	Nfe2l1 Nrf1	Mus musculus (Mouse)
Q62092	NSG1_MOUSE	Nsg1 NEEP21	Mus musculus (Mouse)
Q62351	TFR1_MOUSE	Tfrc Trfr	Mus musculus (Mouse)
